Title,Article,Category
Nepali politics in the post-truth era: Why are the effective lasting longer?,"Oxford Dictionary defines ‘post-truth’  (adjective) as ‘relating to or denoting circumstances in which objective facts are less influential in shaping public opinion than appeals to emotion and personal belief’. It declared ‘post-truth’ as the word of the year in 2016 due to the frequency of its use in diverse debates. Now, it has arrived in Nepali politics too. This phrase got its impetus after  Donald Trump’s election  as the president of the United States and after  Brexit in the United Kingdom  in 2016. The majority of people across the world responded to these events as something unexpectedly caused by the emotional response of the people at the cost of their rationale. The word ‘post-truth’ was used earlier by different writers in different contexts. But after the mentioned events, it has been used more in the context of politics, and now misleading politics against people is associated with ‘post-truth’ politics. Observing political events around the  election times now , it seems Nepali politics is already in the post-truth phase and it is likely to continue for the next several years. Post-truth in the age of IT Communication technologies have penetrated into people’s lives in such a way that they are not only killing their rationality but deviating from their perspectives. The socio-political life of post-modern times has been highly affected by the post-truth world situation, where real truth is less instrumental and different versions of truth have significant effects on different socio-political occasions.  Post-truth is also used synonymously as a ‘customised lie’ that is executed to influence public opinion by striking their emotionality and belief systems rather than rationality and stark reality. In this sense, at present, people wishing to influence others should be smart enough to create a discourse, which could easily satisfy and manipulate people by letting them accept the things before them without any counter-question as such. Now, the question is being raised— has the rationality of humanity been suspended, and have emotion and personal belief systems been prevailing despite the fact that truth has so much evidence and valid things to project? What will happen to the entire world when post-truth starts ruling the age?  The so-called social media platforms are supposed to be significantly responsible to establish a post-truth world situation by  publicising the deluge of distorted images, fake news, propagandist ideologies, and other information . Social media platforms as communication techniques and technologies have an intense effect to shape public consciousness, more particularly during the elections. Take an example from the Nepali politics itself. Post-truth and Nepali politics The fervour of the general election has now gripped Nepali politics in a full-fledged manner. Diverse social media networks have been exploited to manipulate the common people. The intense instrumentalisation of social media technologies for propaganda and manipulation has posed critical questions about the real truth.  Different rhetorics, which have already turned out to be a fiasco, are being used by major political parties to brainwash the public. They are committed to changing the voting behaviours of the masses through the rhetoric of nationalism, employment generation, maintaining distance with India and China, taking back the Nepali territories occupied by India so far, and a host of others.  Some candidates have gone to the extent of assuring the voters to send them to foreign employment free of cost if they cast votes in favour of their parties. The most horrible scenario seen in Nepali politics, these days, is that even the so-called intellectuals holding high profiles in different sectors are the supporters of the leaders of such political parties, the ideologies of which have already been outdated, and are even seen in rallying cries during different occasions of the parties. What can we expect from them for whom the truth is not exactly what it is but what they believe and have faith in? Post-truth effects on Nepali politics The post-truth effects in Nepali politics have led it to be a pathological politics. Consequently, there is a growing disenchantment of genuine ones towards politics. This effect has merely strengthened frustration among the rational people in the country. The whole country has been the victim of disinformation, manipulation and propaganda of the major political parties for the last three decades, which are not even tried to claim that they are doing things for “loktantra” (democracy) even today.  Are we, Nepali, really slavish to these people active in Nepali politics? Are we not aware of the fact that they are absolutely coming up with false promises and tall claims to manipulate us? Despite knowing the truth, we are under the influence of politicians and fall into the trap of their emotional blackmail. Emotional blackmailing has prevented us from being sceptical about our leaders and hence, they succeeded to brainwash us time and time again.  However, we have to pay much for the momentary blissfulness of falsehood after some time. An ample example is that of Nepal, where people are still struggling to uplift their socio-economic status even after the restoration of democracy and the successful conclusion of different political movements. In fact, the post-truth world may invite a host of scary situations— political instability, social unrest, confrontation among the members of the public, security threats to the particular country, interference of external forces to the country, and failure of the nations, to name a few.  On top of that, in the name of freedom of expression, it will also lead to anarchism, which in a long run, maybe a great threat to democracy itself. The post-truth situation in Nepali politics, therefore, needs critical scrutiny by the concerned ones to save democracy from its potential threats.",political
No Not Again: Supreme Court says it’s an example of freedom of expression,"Kathmandu, November 11 The  Supreme Court  says the ongoing campaign–No Not Again–is an example of freedom of expression, ordering the Election Commission to not take any action against the campaigners in the run-up to the November 20 elections. Whereas the court issued an  interim order on November 6 , it continued the order after another round of hearing on Thursday.  Earlier, the commission had asked the operators of the group to shut it down claiming it violated the  election code of conduct  as it defamed some election candidates prior to the elections. The commission had even written to Nepal Police’s cyber bureau to take action again the group for their campaign through the Electronics Transaction Act. But, senior advocate Dinesh Tripathi and advocate Anil Acharya had filed a writ petition against the decision at the apex court. “Campaigns such as No Not Again are an example of freedom of thought and expression and a significant condition for effective enfranchisement practice,” the order issued by justices Sapana Pradhan Malla and Sushmalata Mathema reads.",political
Nepal elections: Know the top 10 contenders and their key opponents,"As the  date for the Nepal elections  is just some a week away, people are excited about the polls and their results. Most of them have eyes on top leaders of major political parties and their possibly closest opponents.  In this regard, Onlinekhabar has brought details about the chiefs of 10 political parties and their potential closest rivals during the Nepal elections last year.   1. KP Sharma Oli vs Khagendra Adhikari  CPN-UML Chairman KP Sharma Oli, the chief of the biggest political party in the outgoing parliament, and Adhikari of the Nepali Congress are vying with each other for the second time in the federal Nepal elections (for the House of Representatives seat) from Jhapa 5. In 2017, Oli secured a landslide victory with 57,139 votes while Adhikari was restricted to 28, 297.  2. Sher Bahadur Deuba vs Karna Bahadur Malla Prime Minister Deuba, the Nepali Congress president, is contesting this time of Nepal elections with his former cadre, Karna Bahadur Malla, in the sole constituency of Dadeldhura.  Deuba has never lost the elections  so far whereas Malla also won the Provincial Assembly elections in 2017, but on behalf of Deuba’s Nepali Congress party. Malla was  expelled from the party in April  this year after he was found leading the rebellion against the party’s official candidates for the local elections. Then, he joined the Nepali Congress (BP), a splinter of the grand old party.  Representing the same party, Malla is contesting against his former boss Deuba during the Nepal elections this time. The main opposition party CPN-UML has assured him of its support.  3. Pushpa Kamal Dahal vs Abdus Miya CPN-Maoist Centre Chairman Pushpa Kamal Dahal is contesting the Nepal elections from Gorkha 2 this time although he was elected from Chitwan 3 last time. The 66-year-old Dahal is vying against 29-year-old candidate Abdus Salam Miya of the CPN-UML. Dahal and Miya both are new candidates for Gorkha 2. Previously, Baburam Bhattarai used to contest from Gorkha 2 and won the election. This time, Bhattarai has extended his support to Dahal.  4. Madhav Kumar Nepal vs Ajay Kumar Gupta  CPN-Unified Socialist Chairman Madhav Kumar Nepal will be vying against Ajay Kumar Gupta of the CPN-UML to win the House of Representatives seat in Rautahat 1. While Nepal contested the Nepal elections in 2017 from the capital, he has returned to his home district this time as his newly established party is stronger in Rautahat than in Kathmandu.       5. Upendra Yadav vs CK Raut  For the upcoming Nepal elections, Yadav has formed a coalition with the CPN-UML in Saptari 2.  In 2017, Yadav won the election from the same constituency by receiving 21,620 votes, defeating Umesh Yadav of the Maoist Centre, who secured 11,780 votes. At that time, Yadav’s Federal Socialist Forum and Rastriya Janata Party had an alliance. But, this time, both parties are running against each other. Besides, he is challenged by Raut, who is  trying to establish his stronghold in the region  after leaving the secessionist agenda. 6. Mahantha Thakur vs Hari Narayan Yadav  Loktantrik Samajbadi Party Chairman Mahantha Thakur will possibly have Hari Narayan Yadav of Janata Samajbadi Party as his nearest contender. Both of them will be contesting from Mahottari 3. In 2017 also, Thakur contested from Mahottari 3 and defeated his closest contender Bijaya Chaudhary of the CPN-UML by a margin of 18,328 votes. In this election, Thakur is getting support from the Nepali Congress.  7. Rajendra Lingden vs Krishna Sitaula  Rastriya Prajatantra Party Chairman Lingden and Sitaula of the Nepali Congress are also contesting with each other for the second time, in Jhapa 3. In 2017, Lingden formed a coalition with the CPN-UML and defeated Sitaula by around 13,000 votes. This time also, the CPN-UML is supporting Lingden, but the Maoist Centre, which was on the UML side last time, is supporting Sitaula.  8. Rabi Lamichhane vs Krishna Bhakta Pokharel   Journalist-turned-politician Rabi Lamichhane , the chief of Rastriya Swatantra Party, is contesting the Nepal elections from Chitwan 2 against outgoing lawmaker Krishna Bhakta Pokharel of the CPN-UML. Lamichhane is contesting the elections for the first time while Pokharel is the winner of the past two elections from the same constituency.  9. Kamal Thapa vs Maha Laxmi Updhayaya  Rastriya Prajatantra Part-Nepal Chairman Kamal Thapa is contesting the Nepal elections from Makawanpur 1, using the CPN-UML’s nomination. Thapa was defeated in the same constituency in 2017 although he was supported by the Nepali Congress. Krishna Prasad Dahal of the CPN-UML secured 40,361 votes to defeat him. But, this time, he is fighting against the Nepali Congress with UML support.  10. Chitra Bahadur KC vs Surya Prasad Pathak   Chitra Bahadur KC, the chairman of Rastriya Janamorcha, is contesting against Surya Prasad Pathak of the CPN-UML from Baglung 1. In the 2008 Constituent Assembly elections, KC was elected from Baglung 2. KC was support from the ruling alliance to fight against Pathak, who was elected from the same constituency in 2017.",political
Reykjavik Global Forum: President Bhandari meets several leaders in Iceland,"Kathmandu, November 10 Various officials and leaders from across the world called on President Bidya Devi Bhandari on the sidelines of the  Reykjavik Global Forum – Women Leaders  in Reykjavik in Iceland on Wednesday.  Icelandic Prime Minister Katrín Jakobsdóttir called on the president yesterday, and the two leaders discussed matters of further strengthening bilateral relations and exchanging potential cooperation in areas such as geothermal energy technology, climate change, tourism and sharing of experience in the areas of women and gender empowerment, the Embassy of Nepal in Copenhagen, Denmark states in a press release.  Also on the sidelines, the UN Women Executive Director Sima Bahous called on President Bhandari and appreciated the progress made by Nepal in women’s political empowerment and SDG indicators. Separately, Silvana-Koch Mehrin, the president and founder of Women Political Leaders, and Laura Liswood, the secretary general of the Council of Women World Leaders, also called on the president and discussed various experiences and issues related to gender, development and climate change.  Earlier on Wednesday, President Bhandari received WPL Trailblazer Award 2022 at the Reykjavik Global Forum – Women Leaders. President Bhandari  left Nepal  to attend the event on Monday. She is returning home on Saturday.",political
"Election Commission: Decide in haste, revoke at leisure is the golden rule before elections","The  Election Commission , on Saturday, wrote a letter to Setopati, a Nepali online news portal, ordering it to remove a news article written by the website  about CPN-UML leader Agni Kharel’s son . The commission, in the letter, stated the news website was writing to defame the electoral candidate which went against the  code of conduct for the November 20 elections . This caused an uproar with people from all walks of life criticising the commission. Following that, the commission took a step back and decided to withdraw its decision and called it a technical error and tried to save itself. On October 20, the commission asked CPN-Unified Socialists leader Madhav Kumar Nepal for clarification on why he was financially alluring voters claiming to give free visas to migrant workers. The commission was even planning to  send a letter to the District Police Office , Rautahat, asking it to take action against Nepal for violating the code of conduct. But, the commission did not do so. “We had readied everything, but the letter wasn’t sent,” says a source from the Election Commission. “We don’t know if the letter will be sent or not. If the letter is sent, the details are likely to be changed.” Even though the police were given the right to arrest Nepal, the message was sent out too late.  On October 25, the commission ordered youth operating a Facebook group, No Not Again, to shut it down. The group was spreading a message about not voting for old leaders who had failed the country.  Once again, the decision sparked outrage as people claimed it went against the freedom of speech, after which the commission withdrew its decision yet again. The commission wanted to shut down the group, but it ended up making it so popular that people from all around Nepal became a part of the group. The Supreme Court also  issued an interim order  on the writ petition filed by senior advocate Dinesh Tripathi asking the commission to take no action against the group. After that, the commission’s statement changed. “You can say no not again or elect again. But, please say it in a decent way that is all we care about,” said Chief Election Commissioner Dinesh Kumar Thapalia at an event on Sunday. These examples show how the Election Commission is working before the elections. It has been taking decisions in haste not thinking about what their effects will be in the public eye. The officials do not even think if the decisions it takes will be implemented. As a result of that, it has been regularly taking back decisions it has made in recent weeks. Tied hands The code of conduct issued by the Election Commission states sitting ministers at the provincial and central levels cannot go to another constituency stating it is illegal to use state funds to promote an election campaign. After the code of conduct was released, there was a lot of criticism from all political parties including the CPN-UML. After that, the commission could not stand firm on its decision and took a step back. The code of conduct was then amended by the commission stating the ministers could go upon permission from the commission but could not use state resources. After pressure from the ruling and opposition parties, the commission could do nothing but change its decisions, say sources at the commission. When the Office of the Prime Minister and Council of Ministers sent a letter to the commission seeking permission to let Prime Minister Sher Bahadur Deuba visit Dadeldhura, it could not take a concrete decision. Since the letter came from the Prime Minister’s Office, officials from the commission deemed it a government visit. But after asking Deuba not to use or abuse any state resource, he was given permission to go. The commission even questioned who would pay the charges for the helicopters used by the Deuba, Pushpa Kamal Dahal and Madhav Kumar Nepal when they went to Sukhet last month. It asked government bodies to send their answers but has not got one so far. Deuba has once again used a Nepal Army helicopter to go to Dadeldhura. But, if the payment for the helicopter will be done by the government or Nepali Congress is unclear. Despite not getting clear answers from these parties, the commission continues to give them permission to do as they please. If you can’t be convinced, get confused In Setopati’s case, however, the Election Commission looked to have crossed its jurisdiction as the role of monitoring the media is given to the Press Council of Nepal. This decision was made by the commission itself. The people in the commission were confused as to why the letter was sent as there were many questions pointed out within the commission itself. A government attorney was even sent back in regard to this case.  Meanwhile, a few weeks ago at a press conference at the commission, CEC Thapaliya said that vehicles would be able to run on  voting day . But, a meeting of security agencies a week later told Thapalia that there was no way that they would be able to provide security if vehicles were allowed to run on election day. Even officials from the Home Ministry were not in favour of allowing vehicles to run. Now, the Election Commission plans on allowing vehicles in some parts of the country where there are no security threats. Even this is not sure as a final decision is yet to be made. All this has left Thapaliya redfaced as his statements were made without talking to anyone and in haste. The commission had also stated that those who contested the local elections and did not submit their expense details would not be allowed to contest the forthcoming elections. These people would only be allowed if they submitted a fine. The fine, according to the commission, could be submitted in any commission office and even on public holidays. The commission, which showed generosity for those who wanted to compete in the elections, initially arranged for fines in a very rude and harsh manner.  A few weeks ago, the commission made guidelines for submitting various documents during the nomination process. It was preparing to submit property details and make the details of the elected candidates public. The commission made it voluntary after questions were raised about such provisions being against the Right to Privacy Act. Following this, the details would only be made public if the candidates wanted to. The unorganised house According to an Election Commission source, such incidents are happening due to a lack of coordination among election commissioners. “Due to the delegation of authority, some of the work is done by some election commissioners alone, but later, they take it back after knowing it can’t be done,” says the source, adding most commissioners now do not want to talk about it, fearing criticism. Former Election Commissioner Dolakh Bahadur Gurung says that the decisions made by the Election Commission, which has the constitutional obligation to conduct free and fair elections, should be universally accepted by all. “Whatever the commission says, it should be done and implemented,” he says, “Since it will have a far-reaching impact on the fairness of the elections, restraint, patience and legal considerations should be considered while making every decision.” He suggests that even though the shortcomings made by the Election Commission so far have not caused much damage, now as the elections are nearing, the commission should be even more sensitive. This story was translated from t he original Nepali version  and edited for clarity and length.",political
Rastriya Swatantra Party told not to use bells in its campaigns,"Kathmandu, November 9 The  Election Commission  has directed Rabi Lamichhane-led Rastriya Swatantra Party to not use bells in its campaigns in the run-up to the federal and provincial elections scheduled to be held on November 20. The commission  has assigned a bell as the election symbol  of the party and its candidates and supporters are using this while canvassing votes. But, parties of other candidates on Tuesday complained to the commission that the RSP candidates using the bell disturbed them. Following that, the constitutional body issued the directive, according to Ganesh Karki of the party. Meanwhile, the commission has denied the report. “We had asked them to submit a clarification over it some weeks ago,” the commission’s assistant spokesperson Guru Prasad Wagle says, “But, no final decision has been made in this regard.”",political
Birodh Khatiwada assaulted during election campaign in Makawanpur,"Hetaunda, November 8 Birodh Khatiwada, the House of Representatives election candidate in Makawanpur 2 representing the CPN-Unified Socialist, has been assaulted during his election campaign. Police say Khatiwada was attacked at Masine,  Manahari rural municipality -4 of the district. An eye witness says Purushottam Khadka (55), a resident of  Hetaunda -2, attacked the former minister as soon as he got off the vehicle. DSP Tek Bahadur Karki says Khadka has been arrested for further investigation and action.  Preliminary investigations suggest Khadka was under the influence of alcohol whereas he also wanted to take vengeance on Khatiwada over a past dispute.",political
"CIAA files 124 appeals for revision to Special Court verdicts, 84 more than original lawsuits, in 4 months","Kathmandu, November 8 The Commission for the Investigation of Abuse of Authority ( CIAA ) has filed 124 appeals at the  Supreme Court  requesting it to revise  Special Court  verdicts in four months.  It is interesting that the anti-corruption constitutional body has only filed 40 original lawsuits at the Special Court in this period. Since the beginning of the fiscal year (July 17, 2022), the commission filed 124 appeals at the apex court, expressing dissatisfaction over the Special Court decisions.  In a press conference in Kathmandu on Tuesday, the CIAA spokesperson Shyam Prasad Bhandari says the constitutional body has been filing appeals for revision as some of the Special Court verdicts contradicted precedents and legal values.  Of late, the rate of the commission winning  corruption cases  is lowering as it hit a record low at 38 per cent last fiscal year.",political
Gandaki CM removes Minister Acharya as he campaigns against the ruling alliance,"Pokhara, November 8 Gandaki Chief Minister  Krishna Chandra Nepali Pokharel  has removed Energy Minister Hari Sharan Acharya from the cabinet after he was found campaigning against the ruling alliance for the  November 20 elections . Bharat Koirala, the press coordinator of CM Pokharel, says the chief minister has sent a letter to the province chief (governor), asking to remove Acharya from the cabinet. It has been learned that Acharya solicited votes against the CPN-Maoist Centre Chairman Pushpa Kamal Dahal in Gorkha. After Dahal complained about him to Acharya’s party chief Baburam Bhattarai, top leaders discussed the issue and Prime Minister Sher Bahadur Deuba directed CM Pokharel to remove him. Meanwhile, Acharya said there was no need for the chief minister to remove him from the cabinet. “I have not joined any other party. Hence, there was no need to remove me,” he says.",political
President Bhandari in Iceland to attend Reykjavík Global Forum – Women Leaders,"Kathmandu, November 8 President Bidya Devi Bhandari left Kathmandu on Monday evening to attend the  Reykjavík Global Forum – Women Leaders  in Iceland. President Bhandari is scheduled to receive an award there. The event to be attended by scores of female political leaders from across the world is being held from Tuesday to Thursday. The event is co-hosted by Women Political Leaders (WPL), the Government of Iceland, and the Parliament of Iceland. Initiated in 2018, the forum is an annual event convening women leaders across the sectors, including politics, business, civil society, academia, arts and media. It is a platform to deliberate on the best practices for gender equality, empowerment and women’s leadership. The meeting is awarding President Bhandari with the WPL Trailblazer Award. She is also expected to address the event. Vice-President Nanda Bahadur Pun and National Assembly Chairman Ganesh Prasad Timilsina saw off the president at the Tribhuvan International Airport on Monday. The  Ministry of Foreign Affairs says  Bhandari will return home on Saturday.",political
"Absentee voting is essential in Nepal given the migrants’ contribution, but authorities are uninterested","Almost four years back, the Supreme Court of Nepal  ordered the government  to provide Nepalis living abroad with voting right in future elections. However, the provision of absentee voting has not been implemented yet nor is there any sign that it will come into effect anytime soon.  If the Supreme Court precedent is considered a part of the country’s law, over two million Nepalis were denied the opportunity to exercise their basic political right in  the local elections  held in May. And, this is not going to change in the  upcoming federal and provincial parliamentary elections , thanks to a lack of action from the authorities. Stakeholders say it is imperative to give migrant workers their enfranchisement given their contribution to the national economy with the remittances they send. However, the responsible authorities look confused, if not uninterested, about how Nepal can exercise absentee voting.  No progress According to a  report  from the Central Bureau of Statics published in July this year, 21,69,478 Nepali are living outside Nepal. All these people are potential voters as they have already reached the age of majority. Article 21 (3) of the  Universal Declaration of Human Rights  reads, “The will of the people shall be the basis of the authority of government; this will shall be expressed in periodic and genuine elections which shall be by universal and equal suffrage and shall be held by secret vote or by equivalent free voting procedures.” It means if Nepal continues to count its migrant workers as its own citizens, the authorities need to make immediate efforts to introduce absentee voting, says labour rights activist Aashish Rai.  Rai and his team have been frequently holding meetings with the  Election Commission  for the past seven years to put pressure on the authorities to introduce the system. “But, no progress has been made so far.” “They (the commission) say the interference of top political parties is the main reason behind the inability to introduce the external voting system,” says Rai.   Rai and his team have also collected the signatures of Nepali migrants from 17 different countries, demanding absentee voting rights and have submitted it to the commission, but in vain.   But, the commission’s assistant spokesperson Surya Prasad Aryal says there are no legal grounds to allow absentee voters to cast their ballots now.  “We have even conducted various studies for external voting and submitted the reports to the government,” says Aryal. “But, there has not been any progress since then.” The blame game Neil Kantha Uprety, a former chief election commissioner, says unless the government builds a mechanism to register absentee voters in their host countries, it is impossible to let them vote now.  But, he believes that building such a mechanism has never been the priority of the government. The government does not have a policy because political parties are not prepared for this. CPN-UML leader Binda Pandey, also an outspoken labour rights activist, blames the political leadership for the failure.  “Depriving migrants of their voting rights is against the spirit of democracy,” she says, “But, the political leaders that are in power today are old-fashioned. They do not accept and believe in the absentee voting system that comprises the use of technology.” They feel insecure with technology and unless they get rid of such a mentality, it is hard to provide voting rights to the Nepalis living abroad, she adds.    Meanwhile, Dila Sangraula, a leader of the ruling Nepali Congress, says disagreements among political parties hindered the voting rights of Nepali people living abroad.  “Our party is very positive to introduce the absentee voting system. Time and again, we have raised our voice for it as well,” says Sangraula. “The reluctance of other parties is the main obstruction for an external voting system.” Implementation complexities But, a lack of willingness is not the only problem. Technically, this is a difficult process. Migrant Nepalis can be able to vote only if voting booths are installed at the embassies. But, that can be not a complete solution yet. Pandey doubts the number of migrant workers going to the embassies might not be great all the time.  Of course, online voting might solve this issue, but Nepali authorities do not believe in technology. The most apparent example is their reluctance to introduce  the electronic voting system in Nepal .  Globally, absentee voting is not a new concept now. Both developed and developing nations have already  exercised  it. Not only Sweden, Canada, the Philippines, Spain and Italy, but developing countries such as Senegal, Brazil, Mexico, and Honduras have also been exercising external voting.   Pakistan remains the only country in South Asia that  allows  absentee voting, in which the voters can log into the National Overseas Voting System and cast their votes.",political
Climate change in Nepal elections: Why are stakeholders happy about hollow promises ?,"Despite his rush to fly to Sharm El-Sheikh of Egypt to attend the 27th meeting of the Conference of the Parties of the UNFCCC ( COP27 ), also known as the United Nations Climate Change Conference, Bimal Regmi, a climate change expert, managed time to go through the election manifestoes of major political parties. Regmi says he, like scores, also does not believe the parties will implement their pre-election commitments, yet he does not think the time he spent reading the manifestoes went to waste. “If not encouraging and exciting, they have given satisfactory space to climate change in the manifestoes,” Regmi told Onlinekhabar over the telephone from Sharm El-Sheikh, “In the past, you could rarely find ‘climate’ as a word in their election manifestoes as it would be mixed up with other environmental issues. But, this time, they have clearly identified the issue.” If you look back to two manifestoes issued by the three biggest parties for the parliamentary elections in 2017, climate change appears to be distant from their responsibilities. The  manifesto of the left alliance  of the CPN-UML and CPN-Maoist Centre, which won the elections, mentioned ‘climate’ once under the title of Conserving Natural Heritage and Environment. The  Nepali Congress mentioned  Climate Change along with Environmental Conversation, but it lacked any measurable outcomes.  This time, the story is different. Climate change appears in the titles of subject matters that the  CPN-UML  and the  Nepali Congress  have listed to express their commitments. In addition, some of the goals they have set are specific and measurable. The  Maoist Centre  does not have ‘climate’ in any of the titles, yet, it has given enough space to the topic. The party has even managed to talk about the ongoing COP27 in the manifesto. Small parties have also given some space to climate change. “I don’t believe in these manifestoes as what the parties say or write does not match with what they do,” climate change activist Raju Pandit Chhetri says, “But, if you forget that, whatever the parties have written this time are not bad at all.” Other stakeholders agree with him. They are okay with the promises and now await their implementation. Big talks of big parties  The big parties have connected climate change with forest conservation, clean energy, pollution control and disaster risk management. As managing finances for climate adaptation and mitigation has been one of the major challenges for Nepal, the parties have also spent some words on addressing that concern. Without setting a time limit, the CPN-UML has vowed to prepare a strategy to increase Nepal’s forest cover to 45 per cent of the total area. It means the opposition party has endorsed Prime Minister Sher Bahadur  Deuba’s announcement during the COP26 last year  that Nepal would increase the forest cover to 45 per cent by 2030.  Apparently, for the opposition party that aspires to lead the next government post-elections, endorsing the government’s international commitment can be one of the most prudent promises it can make. But, Prime Minister Deuba’s Nepali Congress has come one step forward and vowed to increase the forest cover to 47 per cent in the next five years. Another major promise that Deuba made during the climate summit last year was achieving net zero by 2045. Whereas his party has vowed in its election manifesto to begin the road map of a green economy, ultimately reaching net zero, the UML and the Maoist Centre are silent. Among major national parties, the Nepali Congress has become the smartest one in presenting its climate promises in a clear and measurable way. Except for its 20 “guarantees”, the UML manifesto uses bulky paragraphs whereas the Maoist Centre looks uninformed of Nepa’s international obligations and promises. But, the Nepali Congress has tried to present everything in points and numbers.  For example, the UML has repeated the promotion of electric vehicles many times while it has failed to quantify this. Instead, the Nepali Congress talks little yet clearly says it wants to increase the use of electric vehicles and stoves to 50 per cent in the next five years.  “These targets are not only specific and measurable but also achievable if the political leadership is committed,” Regmi says. Likewise, Chhetri adds the overall impression of the parties in terms of net zero, electric vehicles and  climate-smart agriculture  is positive. “If they are to be implemented, they, of course, will do something good.” Disaster risk reduction and management are not missing in any of the manifestoes. The UML has included regular duties such as vulnerable area identification and mapping as well as post-disaster rescue and relief also in its manifesto.  The Nepali Congress has stressed using local construction technologies and materials to prevent floods and erosions. The Maoist Centre is focused on providing ample resources including the workforce for disaster risk reduction and management. It also talks about strengthening the  early warning systems . “Disaster should always be a priority in Nepal and the parties have understood it well,” Regmi says, “But, most of their commitments, sadly, are traditional and they do not hold the strength to transform the system.” While the Maoist Centre appears to be weak in comparison to the UML and the Nepali Congress in the overall presentation of the climate change agenda, it nonetheless has some impressive plans that other parties missed. For example, it vows to provide grants and other assistance to individuals and community groups that practise exemplary climate adaptation models at the local level. It has also talked about connecting climate financing to the local level. “It is because the public today is also aware of climate change concerns. The parties cannot win votes just by promising electricity, roads and bridges as they could in the past,” climate activist Shreya KC says, “The parties know they must address climate crisis to connect themselves to the young population.” The  CPN-Unified Socialist appears weaker  than the Nepali Congress and the Maoist Centre in raising climate issues in the manifesto. Nevertheless, it also talks about disaster risk reduction and management, resilience, utilisation and conservation of natural resources as well as climate adaptation at the local level. The resolutions open to ridicule But, there is not everything to be hopeful about. The parties have failed to meet stakeholders’ expectations in some crucial concerns. While stakeholders are virtually divided over the $100-million loan agreement signed between the government and the World Bank with most of the  stakeholders opposing the deal , Prime Minister Deuba’s Nepali Congress party has said it would make efforts for both concessional loans and grants for climate financing.  “It could have just said ‘finances’ instead of specifying the categories. Also, it didn’t understand that grants and loans are not the only instruments of climate funds available,” says activist Chhetri. All parties are on the same page regarding the need to make climate change and climate finance a matter of diplomacy and international lobbying. They also talk about internationalising issues regarding mountainous climate. Yet, the parties are not clear about how that can be done, says Buddhi Sagar Poudel, the chief of the Climate Change Management Division at the  Ministry of Forests and Environment . “It seems they didn’t have any clear direction about Nepal’s international agenda about loss and damage and climate compensation. It would have been better if they had discussed all these issues with the stakeholders before drafting the manifesto because the manifestoes would guide their government’s policy and programme tomorrow.” But, the parties seem quite distant from such concerns. The Maoist Centre has even dared to lay itself open to ridicule by mentioning the ongoing COP27, which would be over two days before the voting in Nepal, on its election agenda. The party has said Nepal would make efforts to develop a common strategy for mountainous countries during the COP.  It seems the party does not know that most of the Nepali delegates to the climate change conference had already left the country before it made the manifesto public. Nor did it understand that Nepal’s participation in the COP this time is just nominal, given all stakeholders’ focus on the general elections being held in the next two weeks. It is noted here that Prime Minister Sher Bahadur Deuba, who himself leads the Environment Ministry after  firing Minister Pradeep Yadav  over the coalition conflicts, has sent his women’s and children’s minister, Uma Regmi, to lead the delegation. While the participation of a minister from an unrelated portfolio makes the Nepali delegation weak in Sharm El-Sheikh, she is not staying there through the conference either. “In this context, a party mentioning the pre-election COP in the election manifesto is just ridiculous,” a commentator says. Big dreams of small parties But, overall, the big parties’ commitments to addressing climate change concerns this time are positive, comments Chhetri. “It also means that other smaller parties can learn from the biggies tomorrow. If implemented, these manifestoes hence will hold long-term significance.” But, small parties have already learnt the importance of climate change in the modern world. In Regmi’s observation, Baburam Bhattarai-led  Nepal Samajbadi Party  and Rajendra Lingden-led  Rastriya Prajatantra Party  have also made encouraging promises regarding climate change. “It seems no one is weaker than their competitors when it comes to writing about climate.” Probably because climate scientist Arnico Panday led the drafting of the manifesto of Rabi Lamichhane-led Rastriya Swatantra Party, climate change is a priority there too. The argument that Nepal should receive compensation from the international community for the climate crisis here, an issue that even major parties failed to raise, has received priority in the  Swatantra Party’s manifesto . Nonetheless, its promises do not look measurable. Upendra Yadav-led Janata Samajbadi Party Nepal, still known to be a Madhesh-centric party among the general public despite it being a national party legally, nonetheless, has failed to raise climate change in  its manifesto  clearly. Will they walk the talk? It’s always easier said than done. While the parties appear confident in talking the talk, will they keep the promises?  Many people doubt.  “These manifestoes are all formality. If the elections had not coincided with the COP,” a critical Chhetri says, “I don’t think the parties would have talked about climate change with such significance in their manifestoes.” Meanwhile, Regmi believes the parties do not have clear strategies to implement their promises. “The problem is so deep that hundreds of people die every day. It’s a bitter truth that the parties couldn’t show the same level of sensitivity in them. These promises are not tangible.” Chhetri, on the other hand, thinks the parties have failed to mainstream climate change. “They have talked about reducing carbon emission while they also focus on multiplying employment opportunities on the other,” Chhetri says, “But, you need to understand that creating employment opportunities needs more factories that emit carbon. How you can reduce carbon emission, by using electricity maybe, is missing there.” But, there is no alternative to addressing climate concerns, says KC. “Whichever party can express itself more clearly about climate change and sustainable development can claim itself to be going beyond immediate petty benefits and looking forward to long-term development. The political leadership must realise this.”",political
